BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII,Baseline_Needed,Inverse_Diameter
,,0.022,1000.0,8.47,6.07,6.83,12000.0,5.806,20.869,08h 00m 11.7s,+73° 55′ 05″,0.76,0.16,1.01,1.3614279287953324e-08,1.841988997676192e-07,7.487132886284529e-08,False,849.0655366003214,6.25
,,,55.556,,6.07,6.87,6000.0,6.284,-21.285,08h 55m 55.6s,+11° 37′ 34″,,0.5,1.27,,1.841988997676192e-07,7.216315979530507e-08,False,271.70097171210284,2.0
,,,22.222,7.13,6.07,6.39,6150.0,6.453,-24.143,09h 28m 40.0s,+45° 36′ 05″,0.95,0.47,0.89,4.677293854305025e-08,1.841988997676192e-07,1.1228339650951981e-07,False,289.04358692776907,2.127659574468085
ω Leonis,,0.034,47.619,6.15,6.07,6.01,6450.0,14.653,-45.416,09h 28m 27.5s,+09° 03′ 24″,0.72,0.43,0.58,1.1534390636520596e-07,1.841988997676192e-07,1.5933659837763325e-07,False,315.9313624559336,2.3255813953488373
,,0.109,16.949,6.62,6.07,6.18,5500.0,19.133,16.853,09h 35m 39.6s,+35° 48′ 37″,1.04,0.61,0.87,7.481602936843662e-08,1.841988997676192e-07,1.362434214169894e-07,False,222.70571451811713,1.639344262295082
,,,18.519,8.97,6.07,7.02,5700.0,20.092,-66.679,10h 16m 40.7s,+13° 43′ 42″,2.86,0.56,3.32,8.59002950653874e-09,1.841988997676192e-07,6.28514847178934e-08,False,242.5901533143776,1.7857142857142856
,,0.004,100.0,9.07,6.07,7.08,9500.0,21.175,10.049,11h 47m 19.1s,-57° 41′ 47″,0.78,0.22,1.16,7.834200020350441e-09,1.841988997676192e-07,5.947241048708485e-08,False,617.5022084365974,4.545454545454546
,,0.023,500.0,7.15,6.07,6.42,24000.0,23.793,46.833,14h 37m 20.1s,-46° 08′ 02″,0.81,0.09,0.78,4.591923620363982e-08,1.841988997676192e-07,1.0922336223088346e-07,False,1509.449842845016,11.11111111111111
ρ Coronae Borealis,,0.04,71.429,6.09,6.08,6.01,7050.0,12.688,-12.986,16h 01m 02.7s,+33° 18′ 13″,0.8,0.36,0.62,1.2189745982785066e-07,1.8251015410385904e-07,1.5933659837763325e-07,False,377.362460711254,2.7777777777777777
ι Apodis,,,16.393,5.14,6.08,5.37,5700.0,15.387,30.288,17h 22m 05.9s,-70° 07′ 24″,0.24,0.56,0.21,2.9241163937990346e-07,1.8251015410385904e-07,2.8728671364308887e-07,False,242.5901533143776,1.7857142857142856
,,,100.0,,6.08,7.01,9500.0,20.677,29.805,18h 22m 08.7s,+23° 17′ 07″,,0.22,2.71,,1.8251015410385904e-07,6.343304234573874e-08,False,617.5022084365974,4.545454545454546
,,0.033,20.408,5.74,6.08,5.63,5800.0,21.736,28.743,19h 49m 25.3s,-72° 30′ 12″,0.31,0.53,0.3,1.6826533544142757e-07,1.8251015410385904e-07,2.2610779840813497e-07,False,256.3216714265121,1.8867924528301885
,,0.019,250.0,5.5,6.09,5.45,8750.0,5.225,1.968,21h 27m 40.1s,+27° 36′ 31″,0.29,0.24,0.28,2.098914054481956e-07,1.8083689095340482e-07,2.668797003429025e-07,False,566.043691066881,4.166666666666667
κ¹ Sculptoris,,0.023,100.0,5.92,6.09,5.84,9250.0,6.194,48.711,00h 09m 21.0s,-27° 59′ 16″,0.5,0.23,0.43,1.4255900503554102e-07,1.8083689095340482e-07,1.8634405476982044e-07,False,590.6542863306584,4.3478260869565215
,,,38.462,,6.09,6.5,6300.0,14.981,-3.011,00h 57m 50.2s,+28° 59′ 32″,,0.44,0.67,,1.8083689095340482e-07,1.0146483216357998e-07,False,308.7511042182987,2.272727272727273
,,-0.012,55.556,7.32,6.09,6.46,9250.0,16.981,-36.379,01h 24m 40.8s,-41° 29′ 33″,0.87,0.23,0.87,3.926401035882152e-08,1.8083689095340482e-07,1.052726465759201e-07,False,590.6542863306584,4.3478260869565215
,,,250.0,7.83,6.09,6.63,12000.0,18.169,16.477,01h 35m 59.0s,-15° 24′ 01″,0.89,0.16,0.98,2.4546787085196837e-08,1.8083689095340482e-07,9.001513586434273e-08,False,849.0655366003214,6.25
,,,125.0,5.83,6.09,5.73,8000.0,23.658,-45.362,02h 22m 12.4s,-00° 53′ 06″,0.46,0.28,0.41,1.5487975594796524e-07,1.8083689095340482e-07,2.0621276301111872e-07,False,485.1803066287552,3.571428571428571
,,,17.857,4.79,6.1,5.32,6600.0,1.95,-50.234,05h 27m 10.1s,+17° 57′ 44″,0.14,0.4,0.13,4.036404257867525e-07,1.7917896837172288e-07,3.0082611933140194e-07,False,339.6262146401285,2.5
,,0.03,100.0,8.58,6.1,6.86,9750.0,2.182,39.043,06h 33m 49.5s,-36° 13′ 56″,0.72,0.21,0.99,1.2302536313667536e-08,1.7917896837172288e-07,7.283087729182484e-08,False,646.9070755050069,4.761904761904762
,,0.001,31.25,,6.1,6.55,6750.0,4.452,-45.053,07h 31m 48.4s,+17° 05′ 10″,,0.38,1.02,,1.7917896837172288e-07,9.689816245812831e-08,False,357.5012785685564,2.6315789473684212
,,0.021,40.0,5.22,6.1,5.36,6450.0,6.98,26.081,08h 04m 47.1s,+79° 28′ 47″,0.32,0.42,0.28,2.7164058408714663e-07,1.7917896837172288e-07,2.89944944875772e-07,False,323.45353775250345,2.380952380952381
,,0.003,200.0,,6.1,5.36,18000.0,9.446,-27.212,08h 31m 30.9s,-19° 34′ 39″,,0.11,0.28,,1.7917896837172288e-07,2.89944944875772e-07,False,1235.0044168731947,9.090909090909092
ζ Octantis,,,24.39,5.8,6.1,5.73,6000.0,15.887,13.197,08h 56m 41.1s,-85° 39′ 47″,0.4,0.49,0.36,1.5921891336435908e-07,1.7917896837172288e-07,2.0621276301111872e-07,False,277.24588950214576,2.0408163265306123
,,,62.5,5.67,6.1,5.53,5500.0,17.038,64.601,10h 46m 52.0s,-17° 17′ 48″,0.3,0.6,0.3,1.7947115411933435e-07,1.7917896837172288e-07,2.4792227093245827e-07,False,226.4174764267524,1.6666666666666667
,,0.018,100.0,5.34,6.1,5.39,10000.0,20.346,-13.215,11h 13m 45.6s,-00° 04′ 11″,0.3,0.2,0.28,2.4321740788494375e-07,1.7917896837172288e-07,2.8204314017607434e-07,False,679.252429280257,5.0
,,,52.632,8.67,6.11,6.91,9500.0,4.449,-23.919,14h 28m 41.7s,-06° 54′ 02″,0.94,0.22,1.25,1.1323864281393087e-08,1.775362457156348e-07,6.955294784712974e-08,False,617.5022084365974,4.545454545454546
,,,47.619,4.77,6.11,5.38,6450.0,5.398,0.867,15h 53m 55.8s,-23° 58′ 41″,0.12,0.42,0.1,4.1114466157688215e-07,1.775362457156348e-07,2.8465285322083247e-07,False,323.45353775250345,2.380952380952381
,,,29.412,4.91,6.11,5.31,6750.0,12.253,-9.688,16h 24m 31.7s,-37° 33′ 57″,0.21,0.38,0.18,3.614054152008953e-07,1.775362457156348e-07,3.036096291424674e-07,False,357.5012785685564,2.6315789473684212
,,0.007,23.81,4.82,6.11,5.32,6750.0,12.886,-2.447,18h 36m 37.2s,+33° 28′ 08″,0.22,0.38,0.18,3.926401035882152e-07,1.775362457156348e-07,3.0082611933140194e-07,False,357.5012785685564,2.6315789473684212
,,,166.667,5.35,6.11,5.42,12000.0,16.85,-36.486,19h 02m 54.5s,-03° 41′ 56″,0.32,0.16,0.29,2.409875772864156e-07,1.775362457156348e-07,2.743566815916135e-07,False,849.0655366003214,6.25
,,0.013,500.0,,6.11,5.5,9000.0,21.591,24.452,19h 50m 44.8s,-59° 11′ 35″,,0.23,0.26,,1.775362457156348e-07,2.548681351870946e-07,False,590.6542863306584,4.3478260869565215
,,,76.923,8.53,6.11,6.84,9500.0,21.693,40.805,21h 13m 17.3s,-27° 37′ 10″,1.01,0.22,1.29,1.288233698747414e-08,1.775362457156348e-07,7.418490439387877e-08,False,617.5022084365974,4.545454545454546
,,-0.001,21.739,8.54,6.12,6.85,6000.0,6.102,35.388,22h 51m 02.2s,-39° 09′ 25″,2.71,0.49,2.92,1.2764231012063e-08,1.7590858363138213e-07,7.350477310227129e-08,False,277.24588950214576,2.0408163265306123
,,0.015,90.909,8.89,6.12,6.99,9250.0,7.094,52.758,00h 28m 26.4s,-39° 54′ 54″,2.31,0.22,2.74,9.24686794784281e-09,1.7590858363138213e-07,6.461235065144147e-08,False,617.5022084365974,4.545454545454546
,,,55.556,,6.12,7.07,7200.0,9.35,38.188,00h 39m 09.9s,+49° 21′ 16″,,0.34,1.55,,1.7590858363138213e-07,6.002270192602784e-08,False,399.5602525177983,2.941176470588235
,,,62.5,7.58,6.12,6.54,6450.0,13.867,-30.381,01h 03m 02.6s,-04° 50′ 12″,0.78,0.42,0.83,3.090257403945527e-08,1.7590858363138213e-07,9.779475011639373e-08,False,323.45353775250345,2.380952380952381
,,,43.478,5.71,6.12,5.58,6000.0,17.273,-34.251,02h 03m 11.7s,+00° 07′ 42″,0.34,0.49,0.32,1.7297950724350587e-07,1.7590858363138213e-07,2.3676393065009562e-07,False,277.24588950214576,2.0408163265306123
ν Arietis,,0.013,31.25,5.72,6.12,5.59,5200.0,23.235,-61.3,02h 38m 49.0s,+21° 57′ 41″,0.38,0.68,0.36,1.7139362158867496e-07,1.7590858363138213e-07,2.3459326588648988e-07,False,199.78012625889914,1.4705882352941175
,,,28.571,6.98,6.12,6.33,5800.0,0.082,34.66,02h 44m 05.2s,+44° 17′ 49″,0.53,0.52,0.53,5.370251877625411e-08,1.7590858363138213e-07,1.1866305942524058e-07,False,261.25093433856046,1.923076923076923
,,0.024,250.0,4.95,6.13,5.31,9500.0,3.503,59.366,05h 12m 22.4s,+73° 56′ 48″,0.26,0.21,0.22,3.4833302846549317e-07,1.7429584404281387e-07,3.036096291424674e-07,False,646.9070755050069,4.761904761904762
,,0.011,100.0,5.83,6.13,5.67,9000.0,5.818,62.808,05h 09m 19.6s,+09° 49′ 46″,0.27,0.23,0.27,1.5487975594796524e-07,1.7429584404281387e-07,2.1792925857347739e-07,False,590.6542863306584,4.3478260869565215
,,,41.667,8.33,6.13,6.81,7350.0,8.656,-35.393,06h 31m 50.1s,-08° 09′ 29″,0.71,0.32,0.91,1.5487975594796526e-08,1.7429584404281387e-07,7.626329079186169e-08,False,424.5327683001607,3.125
,,,125.0,4.6,6.13,5.28,5500.0,8.756,30.698,07h 23m 00.6s,-31° 55′ 26″,0.16,0.59,0.13,4.808334313352361e-07,1.7429584404281387e-07,3.121156470265911e-07,False,230.2550607729686,1.6949152542372883
,,,27.778,,6.13,5.27,7050.0,9.346,51.266,07h 29m 05.7s,-38° 48′ 44″,,0.35,0.13,,1.7429584404281387e-07,3.1500361755127725e-07,False,388.1442453030041,2.857142857142857
,,0.035,20.833,,6.13,6.59,6300.0,10.159,-34.143,07h 53m 03.5s,-36° 21′ 50″,,0.43,0.81,,1.7429584404281387e-07,9.339326131297505e-08,False,315.9313624559336,2.3255813953488373
,,,45.455,,6.13,5.46,6000.0,19.868,11.629,11h 04m 54.2s,-35° 48′ 17″,,0.48,0.29,,1.7429584404281387e-07,2.644329325431563e-07,False,283.0218455334405,2.0833333333333335
,,0.023,38.462,,6.13,6.99,6750.0,20.322,-46.42,12h 47m 34.4s,+66° 47′ 25″,,0.38,1.2,,1.7429584404281387e-07,6.461235065144147e-08,False,357.5012785685564,2.6315789473684212
,,,35.714,8.99,6.13,7.05,6750.0,21.441,1.103,13h 47m 25.4s,-17° 51′ 36″,3.74,0.38,4.11,8.433243798525395e-09,1.7429584404281387e-07,6.11386072695911e-08,False,357.5012785685564,2.6315789473684212
,,,62.5,5.32,6.13,5.4,6600.0,23.105,18.517,14h 15m 24.1s,-18° 12′ 03″,0.32,0.39,0.29,2.4773915709644866e-07,1.7429584404281387e-07,2.794573531243224e-07,False,348.3345791180807,2.564102564102564
,,0.017,23.256,8.75,6.14,6.93,5700.0,0.676,-22.196,15h 36m 12.1s,-44° 23′ 49″,0.78,0.54,1.09,1.0519489285872116e-08,1.7269789013966864e-07,6.828346347989601e-08,False,251.57497380750266,1.8518518518518516
,,,250.0,4.7,6.14,5.34,9500.0,3.905,-1.047,15h 58m 34.8s,-24° 49′ 53″,0.15,0.21,0.13,4.385253013024318e-07,1.7269789013966864e-07,2.9533542386028876e-07,False,646.9070755050069,4.761904761904762
,,-0.009,111.111,5.68,6.14,5.55,26000.0,6.519,11.251,16h 12m 07.3s,-08° 32′ 51″,0.32,0.09,0.31,1.7782575268821058e-07,1.7269789013966864e-07,2.4339717951678465e-07,False,1509.449842845016,11.11111111111111
,,0.012,29.412,6.67,6.14,6.3,7200.0,7.092,-33.222,18h 44m 57.2s,-39° 41′ 11″,1.74,0.33,1.29,7.144875336241906e-08,1.7269789013966864e-07,1.219875590746977e-07,False,411.66813895773157,3.0303030303030303
,,0.007,28.571,4.66,6.14,5.45,6600.0,8.431,17.046,19h 17m 43.6s,+23° 01′ 32″,0.11,0.39,0.09,4.549824611564269e-07,1.7269789013966864e-07,2.668797003429025e-07,False,348.3345791180807,2.564102564102564
χ³ Sagittarii,,,125.0,8.53,6.14,6.86,16000.0,10.06,-60.116,19h 25m 29.7s,-23° 57′ 44″,0.86,0.12,1.12,1.288233698747414e-08,1.7269789013966864e-07,7.283087729182484e-08,False,1132.087382133762,8.333333333333334
ι Delphini,,0.024,250.0,5.53,6.14,5.49,8000.0,11.283,-6.865,20h 37m 49.1s,+11° 22′ 40″,0.31,0.28,0.29,2.0417128194437744e-07,1.7269789013966864e-07,2.5722640100655646e-07,False,485.1803066287552,3.571428571428571
,,,83.333,4.81,6.14,5.31,9750.0,13.939,-53.868,21h 17m 57.3s,-17° 59′ 07″,0.22,0.2,0.18,3.962731577358557e-07,1.7269789013966864e-07,3.036096291424674e-07,False,679.252429280257,5.0
λ Piscis Austrini,,0.012,100.0,4.72,6.14,5.27,7200.0,14.806,24.367,22h 14m 18.8s,-27° 46′ 01″,0.23,0.33,0.18,4.3052131251587865e-07,1.7269789013966864e-07,3.1500361755127725e-07,False,411.66813895773157,3.0303030303030303
,,,22.727,7.72,6.14,6.6,6450.0,22.522,-5.445,22h 49m 46.2s,+55° 54′ 10″,0.82,0.41,0.9,2.7164058408714665e-08,1.7269789013966864e-07,9.253702674661327e-08,False,331.34264842939376,2.4390243902439024
,,,142.857,4.81,6.15,5.34,10000.0,5.621,64.155,22h 57m 04.5s,+48° 41′ 03″,0.13,0.2,0.12,3.962731577358557e-07,1.7111458636596486e-07,2.9533542386028876e-07,False,679.252429280257,5.0
,,0.021,66.667,5.8,6.15,5.73,5300.0,8.662,73.63,23h 05m 09.8s,-07° 41′ 37″,0.53,0.64,0.45,1.5921891336435908e-07,1.7111458636596486e-07,2.0621276301111872e-07,False,212.26638415008034,1.5625
,,0.017,50.0,5.65,6.15,5.53,9500.0,11.531,81.127,03h 49m 13.8s,+70° 52′ 16″,0.29,0.21,0.28,1.8280777199008675e-07,1.7111458636596486e-07,2.4792227093245827e-07,False,646.9070755050069,4.761904761904762
,,,250.0,7.05,6.15,6.38,10000.0,12.296,-35.906,04h 10m 22.5s,-06° 55′ 26″,0.85,0.2,0.79,5.034944128083973e-08,1.7111458636596486e-07,1.1332234198572594e-07,False,679.252429280257,5.0
,,0.001,16.667,8.77,6.15,7.01,7500.0,12.338,26.002,04h 52m 05.2s,+63° 30′ 19″,5.61,0.31,5.38,1.0327486968025736e-08,1.7111458636596486e-07,6.343304234573874e-08,False,438.2273737291982,3.2258064516129035
,,0.007,90.909,7.27,6.15,6.47,6600.0,18.416,-0.421,07h 08m 22.0s,+15° 55′ 51″,0.77,0.39,0.76,4.1114466157688216e-08,1.7111458636596486e-07,1.0430750115082754e-07,False,348.3345791180807,2.564102564102564
,,0.011,28.571,5.57,6.16,5.51,7050.0,13.704,8.388,11h 08m 43.9s,-28° 04′ 50″,0.29,0.34,0.27,1.967862073285029e-07,1.695457984085113e-07,2.5253149007862097e-07,False,399.5602525177983,2.941176470588235
,,0.001,47.619,7.98,6.16,6.68,7200.0,14.819,37.811,11h 37m 33.9s,-47° 44′ 50″,0.83,0.33,0.96,2.1379357801610657e-08,1.695457984085113e-07,8.596378738015963e-08,False,411.66813895773157,3.0303030303030303
,,,15.873,,6.16,5.36,5500.0,19.115,-36.19,11h 58m 15.2s,-56° 19′ 02″,,0.58,0.18,,1.695457984085113e-07,2.89944944875772e-07,False,234.22497561388178,1.7241379310344829
,,,43.478,,6.17,5.36,7200.0,1.688,25.746,12h 28m 22.5s,-39° 02′ 29″,,0.33,0.18,,1.679913931855018e-07,2.89944944875772e-07,False,411.66813895773157,3.0303030303030303
,,,25.641,4.71,6.17,5.32,12000.0,3.267,-4.081,15h 02m 59.3s,-32° 38′ 36″,0.13,0.16,0.11,4.3450487717417405e-07,1.679913931855018e-07,3.0082611933140194e-07,False,849.0655366003214,6.25
,,0.023,30.303,8.97,6.17,7.03,5900.0,5.127,9.472,15h 54m 34.6s,+20° 18′ 39″,2.22,0.49,2.69,8.59002950653874e-09,1.679913931855018e-07,6.227525884242819e-08,False,277.24588950214576,2.0408163265306123
,,0.01,47.619,5.34,6.17,5.42,8750.0,9.607,-47.249,16h 06m 19.7s,+67° 48′ 37″,0.3,0.24,0.27,2.4321740788494375e-07,1.679913931855018e-07,2.743566815916135e-07,False,566.043691066881,4.166666666666667
,,0.02,166.667,9.03,6.17,7.17,10000.0,12.167,-33.295,16h 16m 43.1s,-53° 48′ 40″,3.67,0.2,3.89,8.12820513631567e-09,1.679913931855018e-07,5.474135476396634e-08,False,679.252429280257,5.0
,,0.012,200.0,5.77,6.17,5.66,14000.0,17.889,-33.269,17h 28m 49.7s,+00° 19′ 50″,0.41,0.13,0.37,1.6367963790854827e-07,1.679913931855018e-07,2.1994573317583476e-07,False,1045.0037373542418,7.692307692307692
,,,29.412,8.65,6.17,6.96,6300.0,20.381,14.551,18h 14m 15.9s,-21° 42′ 47″,0.7,0.43,0.95,1.1534390636520598e-08,1.679913931855018e-07,6.642254952994457e-08,False,315.9313624559336,2.3255813953488373
ω² Cygni,Ruchba,,76.923,8.91,6.17,6.99,7750.0,22.316,37.769,20h 31m 18.8s,+49° 13′ 13″,3.88,0.29,4.23,9.078093587172121e-09,1.679913931855018e-07,6.461235065144147e-08,False,468.44995122776356,3.4482758620689657
,,0.006,38.462,4.91,6.17,5.33,5200.0,23.197,26.847,21h 27m 46.1s,+66° 48′ 33″,0.18,0.67,0.16,3.614054152008953e-07,1.679913931855018e-07,2.980681288916758e-07,False,202.7619191881365,1.4925373134328357
λ² Tucanae,,0.035,1000.0,7.54,6.18,6.54,10000.0,9.513,-30.111,00h 55m 00.3s,-69° 31′ 37″,1.02,0.19,1.03,3.206229868785474e-08,1.664512388352359e-07,9.779475011639373e-08,False,715.0025571371128,5.2631578947368425
,,0.029,55.556,,6.18,5.68,6300.0,14.05,-30.316,02h 57m 23.7s,-23° 51′ 43″,,0.42,0.31,,1.664512388352359e-07,2.1593127112139854e-07,False,323.45353775250345,2.380952380952381
,,0.014,58.824,5.75,6.18,5.64,6150.0,18.328,-62.113,03h 20m 19.7s,+77° 44′ 05″,0.35,0.45,0.33,1.667226695734631e-07,1.664512388352359e-07,2.240348296521535e-07,False,301.8899685690032,2.2222222222222223
,,0.007,22.727,,6.19,6.51,6300.0,0.145,36.627,04h 39m 19.7s,-14° 21′ 33″,,0.42,0.94,,1.6492520470492816e-07,1.0053459699085869e-07,False,323.45353775250345,2.380952380952381
ζ Pictoris,,0.023,29.412,5.97,6.19,5.96,6600.0,5.047,66.823,05h 19m 22.1s,-50° 36′ 22″,0.67,0.38,0.52,1.3614279287953325e-07,1.6492520470492816e-07,1.6684590091054024e-07,False,357.5012785685564,2.6315789473684212
,,,62.5,,6.19,6.37,8000.0,8.551,-23.394,05h 39m 49.8s,-32° 37′ 45″,,0.27,0.71,,1.6492520470492816e-07,1.1437090070606329e-07,False,503.1499476150053,3.7037037037037033
,,0.049,50.0,5.93,6.19,5.95,6300.0,13.916,-7.941,06h 46m 14.1s,+79° 33′ 53″,0.73,0.42,0.56,1.412520162213425e-07,1.6492520470492816e-07,1.6838970702402777e-07,False,323.45353775250345,2.380952380952381
θ Mensae,,,37.037,5.43,6.19,5.5,6450.0,19.424,24.913,06h 56m 34.4s,-79° 25′ 13″,0.21,0.4,0.2,2.2386935893061213e-07,1.6492520470492816e-07,2.548681351870946e-07,False,339.6262146401285,2.5
,,0.021,24.39,5.88,6.19,5.74,5500.0,20.086,38.478,07h 11m 23.6s,-00° 18′ 07″,0.39,0.58,0.36,1.4790901865511634e-07,1.6492520470492816e-07,2.0432219303601916e-07,False,234.22497561388178,1.7241379310344829
,,0.011,40.0,,6.19,,6750.0,22.817,68.57,07h 22m 52.1s,+55° 16′ 53″,,0.37,,,1.6492520470492816e-07,,False,367.16347528662544,2.7027027027027026
,,,29.412,,6.2,6.91,5800.0,3.388,-6.206,07h 54m 42.7s,+47° 33′ 53″,,0.51,1.1,,1.634131613396213e-07,6.955294784712974e-08,False,266.3735016785322,1.9607843137254901
σ² Cancri,,0.011,41.667,5.69,6.2,5.57,6750.0,3.566,-30.92,08h 56m 56.6s,+32° 54′ 37″,0.39,0.37,0.36,1.7619543638807944e-07,1.634131613396213e-07,2.3895468032746774e-07,False,367.16347528662544,2.7027027027027026
,,,62.5,4.93,6.2,5.35,9500.0,6.79,18.193,09h 30m 05.2s,-51° 31′ 02″,0.21,0.21,0.18,3.548090229697602e-07,1.634131613396213e-07,2.926277724192189e-07,False,646.9070755050069,4.761904761904762
,,,25.641,5.68,6.2,5.6,5500.0,8.204,17.648,09h 37m 12.3s,-53° 40′ 07″,0.29,0.57,0.28,1.7782575268821058e-07,1.634131613396213e-07,2.3244250189705808e-07,False,238.33418571237095,1.7543859649122808
ν Chamaeleontis,,0.019,28.571,6.91,6.2,6.34,6000.0,11.529,14.364,09h 46m 20.6s,-76° 46′ 34″,0.91,0.47,0.81,5.727889822704803e-08,1.634131613396213e-07,1.1757514995723681e-07,False,289.04358692776907,2.127659574468085
,,,50.0,5.71,6.2,5.95,6600.0,13.011,18.373,10h 37m 26.8s,-58° 44′ 00″,0.25,0.38,0.21,1.7297950724350587e-07,1.634131613396213e-07,1.6838970702402777e-07,False,357.5012785685564,2.6315789473684212
,,,29.412,7.18,6.2,6.41,6750.0,14.617,-11.695,10h 53m 43.7s,-02° 07′ 45″,0.8,0.37,0.78,4.4667809535049294e-08,1.634131613396213e-07,1.1023399355851862e-07,False,367.16347528662544,2.7027027027027026
,,0.037,37.037,5.8,6.2,5.77,6300.0,17.881,-40.003,12h 37m 42.2s,-27° 08′ 20″,0.5,0.42,0.42,1.5921891336435908e-07,1.634131613396213e-07,1.987538460318086e-07,False,323.45353775250345,2.380952380952381
,,0.013,25.641,8.17,6.2,6.81,5800.0,19.698,50.517,13h 47m 38.4s,-50° 19′ 16″,0.76,0.51,0.91,1.7947115411933433e-08,1.634131613396213e-07,7.626329079186169e-08,False,266.3735016785322,1.9607843137254901
λ Normae,,,142.857,,6.21,5.55,10000.0,8.094,27.53,16h 19m 17.7s,-42° 40′ 26″,,0.19,0.29,,1.6191498047121344e-07,2.4339717951678465e-07,False,715.0025571371128,5.2631578947368425
,,,111.111,4.92,6.21,5.64,5500.0,8.265,-29.074,16h 54m 01.8s,-41° 48′ 23″,0.1,0.57,0.08,3.5809203043828016e-07,1.6191498047121344e-07,2.240348296521535e-07,False,238.33418571237095,1.7543859649122808
ψ² Draconis,,,166.667,5.9,6.21,5.75,16000.0,8.751,-57.275,17h 55m 11.2s,+72° 00′ 18″,0.5,0.12,0.44,1.4520937481876528e-07,1.6191498047121344e-07,2.0244895591063375e-07,False,1132.087382133762,8.333333333333334
,,0.032,28.571,5.78,6.21,5.82,6600.0,12.501,51.536,18h 36m 39.1s,+06° 40′ 19″,0.56,0.38,0.45,1.6217901396827034e-07,1.6191498047121344e-07,1.898084494036234e-07,False,357.5012785685564,2.6315789473684212
,,,50.0,4.83,6.21,5.35,5800.0,18.598,16.976,19h 57m 13.9s,+40° 22′ 05″,0.14,0.5,0.13,3.890403574812109e-07,1.6191498047121344e-07,2.926277724192189e-07,False,271.70097171210284,2.0
,,-0.005,30.303,7.48,6.21,6.55,5900.0,21.009,-3.27,20h 53m 18.6s,+45° 10′ 55″,0.81,0.48,0.83,3.388399863896307e-08,1.6191498047121344e-07,9.689816245812831e-08,False,283.0218455334405,2.0833333333333335
,,0.007,142.857,7.91,6.22,6.7,20000.0,7.956,-46.11,00h 52m 40.6s,-24° 00′ 21″,0.86,0.1,0.95,2.2803140105591707e-08,1.6043053500756636e-07,8.43947714346792e-08,False,1358.504858560514,10.0
,,,83.333,5.83,6.22,5.81,8750.0,10.268,-58.097,02h 22m 01.4s,-10° 46′ 40″,0.46,0.23,0.39,1.5487975594796524e-07,1.6043053500756636e-07,1.9156472536234626e-07,False,590.6542863306584,4.3478260869565215
,Celaeno,0.012,22.222,5.09,6.22,5.42,6000.0,19.721,58.016,03h 44m 48.2s,+24° 17′ 22″,0.16,0.46,0.15,3.061925753770612e-07,1.6043053500756636e-07,2.743566815916135e-07,False,295.3271431653292,2.1739130434782608
,,,250.0,4.85,6.23,5.34,8750.0,2.053,73.851,04h 40m 03.4s,+12° 11′ 52″,0.21,0.23,0.18,3.8193957070893594e-07,1.5895969902173374e-07,2.9533542386028876e-07,False,590.6542863306584,4.3478260869565215
,,0.001,500.0,4.45,6.23,5.28,9750.0,4.393,42.428,05h 31m 14.5s,+03° 17′ 32″,0.13,0.2,0.1,5.520706455243225e-07,1.5895969902173374e-07,3.121156470265911e-07,False,679.252429280257,5.0
,,,14.493,6.29,6.23,6.08,6300.0,6.955,-34.492,05h 30m 09.5s,-47° 04′ 40″,0.86,0.42,0.69,1.01389890874249e-07,1.5895969902173374e-07,1.4938794095167723e-07,False,323.45353775250345,2.380952380952381
,,,125.0,,6.23,6.46,7050.0,19.134,21.699,07h 10m 19.4s,-27° 29′ 29″,,0.33,0.76,,1.5895969902173374e-07,1.052726465759201e-07,False,411.66813895773157,3.0303030303030303
,,0.041,166.667,5.6,6.23,5.54,8500.0,19.699,40.254,07h 16m 14.5s,-15° 35′ 09″,0.3,0.24,0.28,1.9142323685640078e-07,1.5895969902173374e-07,2.4564930589023856e-07,False,566.043691066881,4.166666666666667
,,,333.333,5.2,6.23,5.73,9750.0,20.338,39.403,08h 46m 30.6s,-45° 54′ 46″,0.1,0.2,0.09,2.766907595971572e-07,1.5895969902173374e-07,2.0621276301111872e-07,False,679.252429280257,5.0
,,,21.739,7.25,6.23,6.47,5500.0,22.244,-40.618,09h 09m 35.5s,-08° 47′ 16″,0.78,0.56,0.76,4.187884115266391e-08,1.5895969902173374e-07,1.0430750115082754e-07,False,242.5901533143776,1.7857142857142856
,,-0.008,100.0,9.18,6.24,7.14,10000.0,1.284,-65.602,10h 32m 11.8s,+14° 08′ 14″,2.6,0.19,3.14,7.079370725424913e-09,1.5750234774127423e-07,5.6275004878880725e-08,False,715.0025571371128,5.2631578947368425
,,0.023,41.667,,6.24,5.52,6450.0,1.627,-8.596,12h 11m 03.9s,-23° 36′ 09″,,0.39,0.29,,1.5750234774127423e-07,2.5021626746127e-07,False,348.3345791180807,2.564102564102564
,,,76.923,5.61,6.24,5.51,14000.0,5.033,1.609,12h 31m 00.6s,+24° 34′ 02″,0.3,0.13,0.29,1.8966825807209593e-07,1.5750234774127423e-07,2.5253149007862097e-07,False,1045.0037373542418,7.692307692307692
,,,35.714,,6.24,6.42,6900.0,6.049,32.636,12h 39m 07.3s,+21° 03′ 45″,,0.34,0.83,,1.5750234774127423e-07,1.0922336223088346e-07,False,399.5602525177983,2.941176470588235
